cv_etendu_normalise,metier
Bonne communication écrite et orale en français et en anglais. Maintenance quotidienne des bases Oracle et MySQL. Capacité à auditer et documenter des architectures de bases complexes. Veille technologique sur les SGBD émergents. Mise en place de politiques de sauvegarde et de récupération. Projet de centralisation des logs de base de données via ELK stack. Gestion des utilisateurs et des privilèges. Collaboration avec les développeurs pour la conception de schémas. Support aux développeurs pour la modélisation des schémas de base. Formation certifiante Oracle Database 12c. Participation à un bootcamp DevOps orienté gestion des BDD. Expérience dans la rédaction de documentation technique.,Administrateur de base de données
"Expérience dans le support technique aux utilisateurs. Capacité d’adaptation dans des contextes multiculturels. Formation certifiante Oracle Database 12c. Maîtrise des systèmes d’exploitation Linux et Windows. Formation continue sur les technologies émergentes. Connaissances avancées en réplication, clustering et partitionnement. Collaboration avec les développeurs pour la conception de schémas. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Mise en place de processus d'intégration continue. Assurance de la cohérence et de l'intégrité des informations. Connaissance approfondie des bases de données relationnelles. Solide compréhension de la sécurité informatique.",Administrateur de base de données
"Bonne communication écrite et orale en français et en anglais. Migration de bases de données vers des environnements cloud. Développement de procédures stockées pour automatiser les imports massifs. Collaboration avec les développeurs pour la conception de schémas. Implémentation de sauvegardes automatisées hebdomadaires. Maintenance quotidienne des bases Oracle et MySQL. Formation continue sur la haute disponibilité des bases de données. Optimisation des performances des requêtes SQL sur des bases volumineuses. Participation active à des projets open source. Gestion des utilisateurs et des privilèges. Esprit d’analyse et rigueur dans la résolution de problèmes. Utilisation de pgAdmin, MySQL Workbench, Oracle SQL Developer.",Administrateur de base de données
"Migration de bases de données vers des environnements cloud. Bonne communication écrite et orale en français et en anglais. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Licence en informatique, option Systèmes d'information. Automatisation de tâches avec Bash et Python. Surveillance des performances avec des outils comme Zabbix. Réduction des temps de réponse des requêtes critiques de 40%. Formation continue sur la haute disponibilité des bases de données. Collaboration avec les développeurs pour la conception de schémas. Participation à des audits de performance des systèmes. Expérience avec les systèmes Linux pour l'hébergement de bases. Expérience dans la rédaction de documentation technique.",Administrateur de base de données
Automatisation de tâches avec Bash et Python. Maîtrise des outils de virtualisation et de conteneurisation. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Compétence en gestion de projets informatiques. Restauration de bases après sinistre. Participation à un bootcamp DevOps orienté gestion des BDD. Mise en place de politiques de sauvegarde et de récupération. Projet de centralisation des logs de base de données via ELK stack. Maîtrise des systèmes d’exploitation Linux et Windows. Capacité d’adaptation dans des contextes multiculturels. Optimisation des requêtes SQL pour de meilleures performances. Capacité à travailler en équipe dans des environnements agiles.,Administrateur de base de données
"Implémentation de sauvegardes automatisées hebdomadaires. Supervision de bases critiques pour une banque en ligne. Connaissances avancées en réplication, clustering et partitionnement. Solide compréhension de la sécurité informatique. Écriture de scripts PL/SQL pour l’automatisation. Maîtrise de la modélisation MERISE et UML. Esprit d’analyse et rigueur dans la résolution de problèmes. Optimisation des requêtes SQL pour de meilleures performances. Participation à la refonte du schéma relationnel pour un ERP interne. Licence en informatique, option Systèmes d'information. Gestion des utilisateurs et des privilèges. Cours avancé sur la sécurité des bases de données relationnelles.",Administrateur de base de données
"Optimisation des performances des requêtes SQL sur des bases volumineuses. Support aux développeurs pour la modélisation des schémas de base. Maîtrise de la modélisation MERISE et UML. Développement de procédures stockées pour automatiser les imports massifs. Maîtrise des outils de virtualisation et de conteneurisation. Optimisation des requêtes SQL pour de meilleures performances. Connaissances avancées en réplication, clustering et partitionnement. Maintenance quotidienne des bases Oracle et MySQL. Esprit d’analyse et rigueur dans la résolution de problèmes. Licence en informatique, option Systèmes d'information. Maîtrise des systèmes d’exploitation Linux et Windows. Maintenance quotidienne des bases Oracle et MySQL.",Administrateur de base de données
"Participation à un bootcamp DevOps orienté gestion des BDD. Restauration de bases après sinistre. Connaissance approfondie des bases de données relationnelles. Expérience dans le support technique aux utilisateurs. Support aux développeurs pour la modélisation des schémas de base. Migration de bases de données vers des environnements cloud. Solide compréhension de la sécurité informatique. Compétence en gestion de projets informatiques. Maîtrise de SQL, PL/SQL, et des procédures stockées. Maintenance quotidienne des bases Oracle et MySQL. Audit de sécurité sur un système de gestion documentaire. Collaboration avec les développeurs pour la conception de schémas.",Administrateur de base de données
Création de scripts de maintenance pour automatiser les backups. Maîtrise de la modélisation MERISE et UML. Bonne communication écrite et orale en français et en anglais. Implémentation de sauvegardes automatisées hebdomadaires. Développement de procédures stockées pour automatiser les imports massifs. Compétence en gestion de projets informatiques. Gestion des utilisateurs et des privilèges. Optimisation des requêtes SQL pour de meilleures performances. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Esprit d’analyse et rigueur dans la résolution de problèmes. Participation à un bootcamp DevOps orienté gestion des BDD. Mise en place de processus d'intégration continue.,Administrateur de base de données
"Licence en informatique, option Systèmes d'information. Collaboration avec les développeurs pour la conception de schémas. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Maîtrise des systèmes d’exploitation Linux et Windows. Surveillance des performances avec des outils comme Zabbix. Développement de procédures stockées pour automatiser les imports massifs. Mise en place de politiques de sauvegarde et de récupération. Capacité d’adaptation dans des contextes multiculturels. Gestion des utilisateurs et des privilèges. Expérience avec les systèmes Linux pour l'hébergement de bases. Participation à la migration d'une base Oracle vers PostgreSQL. Participation à un bootcamp DevOps orienté gestion des BDD.",Administrateur de base de données
"Maîtrise des outils de virtualisation et de conteneurisation. Maîtrise de SQL, PL/SQL, et des procédures stockées. Participation à des audits de performance des systèmes. Mise en place de politiques de sauvegarde et de récupération. Optimisation des requêtes SQL pour de meilleures performances. Participation active à des projets open source. Support aux développeurs pour la modélisation des schémas de base. Optimisation des requêtes SQL pour de meilleures performances. Capacité à travailler en équipe dans des environnements agiles. Formation certifiante Oracle Database 12c. Maintenance quotidienne des bases Oracle et MySQL. Maîtrise de la modélisation MERISE et UML.",Administrateur de base de données
Diplôme d'ingénieur en systèmes informatiques. Veille technologique sur les SGBD émergents. Compétence en gestion de projets informatiques. Maintenance quotidienne des bases Oracle et MySQL. Assurance de la cohérence et de l'intégrité des données. Capacité d’adaptation dans des contextes multiculturels. Solide compréhension de la sécurité informatique. Projet de centralisation des logs de base de données via ELK stack. Participation active à des missions open source. Implémentation de sauvegardes automatisées hebdomadaires. Formation continue sur les technologies émergentes. Supervision de bases critiques pour une banque en ligne.,Administrateur de base de données
Bonne communication écrite et orale en français et en anglais. Mise en place de politiques de sauvegarde et de récupération. Participation à un bootcamp DevOps orienté gestion des BDD. Compétence en gestion de projets informatiques. Capacité d’adaptation dans des contextes multiculturels. Déploiement et maintenance d'environnements MongoDB en cluster. Maîtrise des systèmes d’exploitation Linux et Windows. Formation continue sur les technologies émergentes. Mise en place de politiques de sauvegarde et de récupération. Formation certifiante Oracle Database 12c. Supervision de bases critiques pour une banque en ligne. Implémentation de sauvegardes automatisées hebdomadaires.,Administrateur de base de données
Mise en place de politiques de sauvegarde et de récupération. Automatisation de tâches avec Bash et Python. Migration de bases de données vers des environnements cloud. Master en administration de bases de données. Responsable de la sauvegarde et restauration des données sous PostgreSQL. Participation active à des missions open source. Expérience dans le support technique aux utilisateurs. Support aux développeurs pour la modélisation des schémas de base. Collaboration avec les développeurs pour la conception de schémas. Capacité à auditer et documenter des architectures de bases complexes. Compétence en gestion de projets informatiques. Capacité à travailler en équipe dans des environnements agiles.,Administrateur de base de données
Maîtrise des systèmes d’exploitation Linux et Windows. Esprit d’analyse et rigueur dans la résolution de problèmes. Optimisation des performances des requêtes SQL sur des bases volumineuses. Support aux développeurs pour la modélisation des schémas de base. Capacité d’adaptation dans des contextes multiculturels. Collaboration avec les développeurs pour la conception de schémas. Mise en place de politiques de sauvegarde et de récupération. Mise en place de processus d'intégration continue. Participation à la refonte du schéma relationnel pour un ERP interne. Expérience dans le support technique aux utilisateurs. Intégration d'une base de données NoSQL pour une application mobile. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios.,Administrateur de base de données
"Expérience dans la rédaction de documentation technique. Participation à des audits de performance des systèmes. Collaboration avec les développeurs pour la conception de schémas. Master en administration de bases de données. Compétence en gestion de projets informatiques. Optimisation des requêtes SQL pour de meilleures performances. Formation continue sur les technologies émergentes. Maîtrise de SQL, PL/SQL, et des procédures stockées. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Support aux développeurs pour la modélisation des schémas de base. Restauration de bases après sinistre. Participation à la refonte du schéma relationnel pour un ERP interne.",Administrateur de base de données
Maintenance quotidienne des bases Oracle et MySQL. Participation active à des projets open source. Projet de centralisation des logs de base de données via ELK stack. Capacité d’adaptation dans des contextes multiculturels. Capacité à auditer et documenter des architectures de bases complexes. Collaboration avec les développeurs pour la conception de schémas. Déploiement et maintenance d'environnements MongoDB en cluster. Écriture de scripts PL/SQL pour l’automatisation. Formation continue sur la haute disponibilité des bases de informations. Restauration de bases après sinistre. Esprit d’analyse et rigueur dans la résolution de problèmes. Participation à des audits de performance des systèmes.,Administrateur de base de données
Collaboration avec les développeurs pour la conception de schémas. Expérience dans la rédaction de documentation technique. Compétence en gestion de projets informatiques. Esprit d’analyse et rigueur dans la résolution de problèmes. Mise en place de politiques de sauvegarde et de récupération. Participation à des audits de performance des systèmes. Projet de centralisation des logs de base de données via ELK stack. Cours avancé sur la sécurité des bases de données relationnelles. Veille technologique sur les SGBD émergents. Capacité à auditer et documenter des architectures de bases complexes. Maintenance quotidienne des bases Oracle et MySQL. Audit de sécurité sur un système de gestion documentaire.,Administrateur de base de données
Expérience dans la rédaction de documentation technique. Création de scripts de maintenance pour automatiser les backups. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Maintenance quotidienne des bases Oracle et MySQL. Développement de procédures stockées pour automatiser les imports massifs. Surveillance des performances avec des outils comme Zabbix. Participation à un bootcamp DevOps orienté gestion des BDD. Capacité à auditer et documenter des architectures de bases complexes. Capacité à travailler en équipe dans des environnements agiles. Gestion des utilisateurs et des privilèges. Collaboration avec les développeurs pour la conception de schémas. Automatisation de tâches avec Bash et Python.,Administrateur de base de données
Mise en place de politiques de sauvegarde et de récupération. Gestion des utilisateurs et des privilèges. Support aux développeurs pour la modélisation des schémas de base. Formation continue sur les technologies émergentes. Solide compréhension de la sécurité informatique. Participation à un bootcamp DevOps orienté gestion des BDD. Maintenance quotidienne des bases Oracle et MySQL. Participation à des audits de performance des systèmes. Mise en place de politiques de sauvegarde et de récupération. Veille technologique sur les SGBD émergents. Capacité à travailler en équipe dans des environnements agiles. Bonne communication écrite et orale en français et en anglais.,Administrateur de base de données
"Solide compréhension de la sécurité informatique. Collaboration avec les développeurs pour la conception de schémas. Maintenance quotidienne des bases Oracle et MySQL. Maintenance quotidienne des bases Oracle et MySQL. Écriture de scripts PL/SQL pour l’automatisation. Création de scripts de maintenance pour automatiser les backups. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Projet de centralisation des logs de base de informations via ELK stack. Formation continue sur la haute disponibilité des bases de données. Utilisation de pgAdmin, MySQL Workbench, Oracle SQL Developer. Expérience dans le support technique aux utilisateurs. Esprit d’analyse et rigueur dans la résolution de problèmes.",Administrateur de base de données
Mise en place de processus d'intégration continue. Automatisation de tâches avec Bash et Python. Optimisation des requêtes SQL pour de meilleures performances. Participation à des audits de performance des systèmes. Cours avancé sur la sécurité des bases de données relationnelles. Connaissance approfondie des bases de données relationnelles. Expérience avec les systèmes Linux pour l'hébergement de bases. Projet de centralisation des logs de base de données via ELK stack. Expérience dans la rédaction de documentation technique. Maintenance quotidienne des bases Oracle et MySQL. Participation active à des projets open source. Restauration de bases après sinistre.,Administrateur de base de données
"Implémentation de sauvegardes automatisées hebdomadaires. Mise en place de politiques de sauvegarde et de récupération. Écriture de scripts PL/SQL pour l’automatisation. Maîtrise de la modélisation MERISE et UML. Optimisation des requêtes SQL pour de meilleures performances. Capacité d’adaptation dans des contextes multiculturels. Mise en place de politiques de sauvegarde et de récupération. Maintenance quotidienne des bases Oracle et MySQL. 3 ans d'parcours en administration de bases de données Oracle et MySQL. Maîtrise de SQL, PL/SQL, et des procédures stockées. Collaboration avec les développeurs pour la conception de schémas. Bonne communication écrite et orale en français et en anglais.",Administrateur de base de données
Capacité d’adaptation dans des contextes multiculturels. Participation active à des projets open source. Projet de centralisation des logs de base de données via ELK stack. Expérience avec les systèmes Linux pour l'hébergement de bases. Diplôme d'ingénieur en systèmes informatiques. Restauration de bases après sinistre. Optimisation des requêtes SQL pour de meilleures performances. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Participation à un bootcamp DevOps orienté gestion des BDD. Solide compréhension de la sécurité informatique. Maintenance quotidienne des bases Oracle et MySQL. Migration de bases de données vers des environnements cloud.,Administrateur de base de données
Cours avancé sur la sécurité des bases de données relationnelles. Solide compréhension de la sécurité informatique. Assurance de la cohérence et de l'intégrité des données. Participation active à des projets open source. Automatisation de tâches avec Bash et Python. Optimisation des requêtes SQL pour de meilleures performances. Bonne communication écrite et orale en français et en anglais. Expérience dans le support technique aux utilisateurs. Certification PostgreSQL pour les professionnels. Optimisation des requêtes SQL pour de meilleures performances. Maîtrise des systèmes d’exploitation Linux et Windows. Collaboration avec les développeurs pour la conception de schémas.,Administrateur de base de données
Automatisation de tâches avec Bash et Python. Connaissance approfondie des bases de données relationnelles. Capacité à auditer et documenter des architectures de bases complexes. Mise en place de processus d'intégration continue. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Collaboration avec les développeurs pour la conception de schémas. Formation continue sur la haute disponibilité des bases de données. Restauration de bases après sinistre. Capacité d’adaptation dans des contextes multiculturels. Implémentation de sauvegardes automatisées hebdomadaires. Participation active à des projets open source. Master en administration de bases de informations.,Administrateur de base de données
"Licence en informatique, option Systèmes d'information. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Participation à la refonte du schéma relationnel pour un ERP interne. Maintenance quotidienne des bases Oracle et MySQL. Restauration de bases après sinistre. Mise en place de politiques de sauvegarde et de récupération. Capacité d’adaptation dans des contextes multiculturels. Connaissances avancées en réplication, clustering et partitionnement. Formation continue sur la haute disponibilité des bases de données. Création de scripts de maintenance pour automatiser les backups. Réduction des temps de réponse des requêtes critiques de 40%. Maîtrise des outils de virtualisation et de conteneurisation.",Administrateur de base de données
Capacité d’adaptation dans des contextes multiculturels. Intégration d'une base de données NoSQL pour une application mobile. Restauration de bases après sinistre. Mise en place de politiques de sauvegarde et de récupération. Capacité à auditer et documenter des architectures de bases complexes. Solide compréhension de la sécurité informatique. Mise en place de politiques de sauvegarde et de récupération. Formation continue sur la haute disponibilité des bases de données. Collaboration avec les développeurs pour la conception de schémas. Optimisation des requêtes SQL pour de meilleures performances. Compétence en gestion de projets informatiques. Écriture de scripts PL/SQL pour l’automatisation.,Administrateur de base de données
Participation à un bootcamp DevOps orienté gestion des BDD. Formation continue sur les technologies émergentes. Optimisation des requêtes SQL pour de meilleures performances. Supervision de bases critiques pour une banque en ligne. Participation active à des projets open source. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Compétence en gestion de projets informatiques. Collaboration avec les développeurs pour la conception de schémas. Expérience avec les systèmes Linux pour l'hébergement de bases. Migration de bases de données vers des environnements cloud. Gestion des utilisateurs et des privilèges. Maîtrise des systèmes d’exploitation Linux et Windows.,Administrateur de base de données
Formation continue sur les technologies émergentes. Certification PostgreSQL pour les professionnels. Migration de bases de données vers des environnements cloud. Capacité à travailler en équipe dans des environnements agiles. Esprit d’analyse et rigueur dans la résolution de problèmes. Maîtrise des systèmes d’exploitation Linux et Windows. Maintenance quotidienne des bases Oracle et MySQL. Assurance de la cohérence et de l'intégrité des données. Supervision de bases critiques pour une banque en ligne. Participation à la refonte du schéma relationnel pour un ERP interne. Automatisation de tâches avec Bash et Python. Mise en place de politiques de sauvegarde et de récupération.,Administrateur de base de données
Diplôme d'ingénieur en systèmes informatiques. Expérience avec les systèmes Linux pour l'hébergement de bases. Participation à des audits de performance des systèmes. Formation continue sur la haute disponibilité des bases de données. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Maîtrise des systèmes d’exploitation Linux et Windows. Développement de procédures stockées pour automatiser les imports massifs. Optimisation des requêtes SQL pour de meilleures performances. Surveillance des performances avec des outils comme Zabbix. Gestion des utilisateurs et des privilèges. Participation active à des projets open source. Capacité d’adaptation dans des contextes multiculturels.,Administrateur de base de données
"Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Participation active à des projets open source. Assurance de la cohérence et de l'intégrité des données. Utilisation de pgAdmin, MySQL Workbench, Oracle SQL Developer. Compétence en gestion de projets informatiques. Veille technologique sur les SGBD émergents. Solide compréhension de la sécurité informatique. Projet de centralisation des logs de base de données via ELK stack. Migration de bases de données vers des environnements cloud. Mise en place de processus d'intégration continue. Esprit d’analyse et rigueur dans la résolution de problèmes. Master en administration de bases de données.",Administrateur de base de données
Participation à la refonte du schéma relationnel pour un ERP interne. Mise en place de politiques de sauvegarde et de récupération. Solide compréhension de la sécurité informatique. Participation active à des projets open source. Optimisation des requêtes SQL pour de meilleures performances. Maintenance quotidienne des bases Oracle et MySQL. Capacité d’adaptation dans des contextes multiculturels. Expérience dans la rédaction de documentation technique. Réduction des temps de réponse des requêtes critiques de 40%. Participation à un bootcamp DevOps orienté gestion des BDD. Collaboration avec les développeurs pour la conception de schémas. Automatisation de tâches avec Bash et Python.,Administrateur de base de données
Réduction des temps de réponse des requêtes critiques de 40%. Capacité d’adaptation dans des contextes multiculturels. Optimisation des requêtes SQL pour de meilleures performances. Certification PostgreSQL pour les professionnels. Participation active à des projets open source. Capacité à auditer et documenter des architectures de bases complexes. Participation à un bootcamp DevOps orienté gestion des BDD. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Supervision de bases critiques pour une banque en ligne. Écriture de scripts PL/SQL pour l’automatisation. Participation à des audits de performance des systèmes. Formation continue sur les technologies émergentes.,Administrateur de base de données
"Capacité d’adaptation dans des contextes multiculturels. Collaboration avec les développeurs pour la conception de schémas. Intégration d'une base de données NoSQL pour une application mobile. Développement de procédures stockées pour automatiser les imports massifs. Participation active à des projets open source. Optimisation des requêtes SQL pour de meilleures performances. Solide compréhension de la sécurité informatique. Connaissance approfondie des bases de données relationnelles. Surveillance des performances avec des outils comme Zabbix. Expérience avec les systèmes Linux pour l'hébergement de bases. Compétence en gestion de projets informatiques. Licence en informatique, option Systèmes d'information.",Administrateur de base de données
Assurance de la cohérence et de l'intégrité des données. Compétence en gestion de projets informatiques. Esprit d’analyse et rigueur dans la résolution de problèmes. Bonne communication écrite et orale en français et en anglais. Implémentation de sauvegardes automatisées hebdomadaires. Maîtrise des outils de virtualisation et de conteneurisation. Formation continue sur la haute disponibilité des bases de données. Développement de procédures stockées pour automatiser les imports massifs. Formation continue sur les technologies émergentes. Supervision de bases critiques pour une banque en ligne. Maintenance quotidienne des bases Oracle et MySQL. Formation certifiante Oracle Database 12c.,Administrateur de base de données
"Mise en place de politiques de sauvegarde et de récupération. Assurance de la cohérence et de l'intégrité des données. Maintenance quotidienne des bases Oracle et MySQL. Solide compréhension de la sécurité informatique. Création de scripts de maintenance pour automatiser les backups. Optimisation des requêtes SQL pour de meilleures performances. Bonne communication écrite et orale en français et en anglais. Formation certifiante Oracle Database 12c. Capacité à auditer et documenter des architectures de bases complexes. Formation continue sur la haute disponibilité des bases de données. Maîtrise de SQL, PL/SQL, et des procédures stockées. Migration de bases de données vers des environnements cloud.",Administrateur de base de données
"Responsable de la sauvegarde et restauration des données sous PostgreSQL. Connaissance approfondie des bases de données relationnelles. Licence en informatique, option Systèmes d'information. Mise en place de politiques de sauvegarde et de récupération. Projet de centralisation des logs de base de données via ELK stack. Optimisation des requêtes SQL pour de meilleures performances. Maîtrise de la modélisation MERISE et UML. Écriture de scripts PL/SQL pour l’automatisation. Maîtrise des outils de virtualisation et de conteneurisation. Migration de bases de données vers des environnements cloud. Expérience dans la rédaction de documentation technique. Compétence en gestion de projets informatiques.",Administrateur de base de données
"Développement de procédures stockées pour automatiser les imports massifs. Utilisation de pgAdmin, MySQL Workbench, Oracle SQL Developer. Connaissance approfondie des bases de données relationnelles. Écriture de scripts PL/SQL pour l’automatisation. Capacité à auditer et documenter des architectures de bases complexes. Expérience dans la rédaction de documentation technique. Maîtrise des outils de virtualisation et de conteneurisation. Intégration d'une base de données NoSQL pour une application mobile. Maintenance quotidienne des bases Oracle et MySQL. Collaboration avec les développeurs pour la conception de schémas. Maîtrise des systèmes d’exploitation Linux et Windows. Certification PostgreSQL pour les professionnels.",Administrateur de base de données
"Utilisation de Hive et Pig pour des analyses distribuées. Développement de pipelines avec Hadoop et Spark. Développement de pipelines avec Hadoop et Spark. Visualisation de données big data avec Kibana. Manipulation de grands ensembles de données en temps réel. Bonne compréhension des bases de données NoSQL (MongoDB, Cassandra). Déploiement d'un pipeline de détection de fraudes en temps réel. Participation active à des projets open source. Compétence en gestion de projets informatiques. 3 ans d'expérience dans la conception de pipelines ETL sur Apache Spark. Connaissance approfondie des bases de données relationnelles. Expérience dans la rédaction de documentation technique.",Big data
"Utilisation de Kafka pour le streaming de données. Maîtrise des outils de virtualisation et de conteneurisation. Création de tableaux de bord interactifs pour la visualisation de données. Capacité d’adaptation dans des contextes multiculturels. Utilisation de Hive et Pig pour l’analyse de données massives. Maîtrise des systèmes d’exploitation Linux et Windows. Intégration de données avec Apache Nifi. Maîtrise de Python, SQL, PySpark et Scala. Développement d'un moteur de recommandation pour une plateforme e-commerce. Capacité à travailler en équipe dans des environnements agiles. Esprit d’analyse et rigueur dans la résolution de problèmes. Développement de pipelines avec Hadoop et Spark.",Big data
